key,description,en,ru
secretRoom,,Secret room,Тайная комната
welcome,,Welcome,Добро пожаловать
letsGetStarted,,"Let's get started with {appName} and see how it can help you in achieving your goals, developing habits, managing your time and energy.","Начните пользоваться {appName} прямо сейчас, чтобы достичь своих целей, развить привычки, снизить стресс и повысить энергию."
letsContinie,,Let's continue your journey with {appName}.,Давайте начнем ваш путь к лучшей жизни с {appName}.
yourMeditivity,,Your {appName},Ваше {appName}
welcomeToMeditivity,,Welcome to {appName},Добро пожаловать в {appName}
singInWithGoogle,,Sign in with Google,Войти через Google
singInWithApple,,Sign in with Apple,Войти через Apple
singInWithFacebook,,Sign in with Facebook,Войти через Facebook
connectWithEmail,,Connect with Email,Войти через Email
restoreSubscription,,Restore subscription,Восстановить подписку
community,,Community,Сообщество
profile,,Profile,Профиль
settings,,Settings,Настройки
accountDetails,,Account Details,Детали аккаунта
feedback,,Feedback,Оставить отзыв
visitMeditivity,,Visit {appSite},Перейти на {appSite}
email,,Email,Email
signUp,,Sign Up,Создать аккаунт
logIn,,Log In,Войти
logOut,,Log out,Выйти
ok,,Ok,Ok
emailIsInvalid,,Email is invalid,Неверный пароль
forgotYourPassword,,Forgot your password?,Забыли пароль?
confirmEmailMessage,,"We've all been there, please confirm your email and we'll send you a reset link.","Со всеми случается, пожалуйста, введите свою почту и мы пришлем ссылку на восстановление пароля."
resetPasswordMessage,,We've sent you an email with a link to reset your password.,Ссылка на восстановление пароля отправлена на вашу почту.
anAccountAlreadyExist,,An account with this email already exists. Please log in as you did before to verify your account.,"Аккаунт, привязанный к этой почте, уже существует. Введите пароль, чтобы войти или запросите ссылку на восстановление пароля."
and,,and,и
termOfUse,,Terms of Use,Условия использования
privatePolicy,,Privacy Policy,Политика конфиденциальности
bySigningInYouAgree,,By signing in you agree to,"Заходя в приложение, вы соглашаетесь с"
typeYourEmail,,Type your email,Введите вашу почту
typeInYourPassword,,Type in your password,Введите ваш пароль
skip,,Skip,Пропустить
gladToSeeYouAgain,,Glad to see you again,Рады снова вас видеть
letsSetUpAnAccount,,Let's set up an account,Давайте создадим для вас аккаунт
logOutConfirmedDialog,,Stay in to keep your progress.,"Остаться в аккаунте, чтобы отслеживать свой прогресс."
subscriptionDetails,,Subscription details,Детали подписки
myDay,,My Day,Мой день
task,,Task,Задача
habit,,Habit,Привычка
goal,,Goal,Цель
note,,Note,Заметка
toDo,,To-Do,Дела
tasks,,Tasks,Задачи
habits,,Habits,Привычки
goals,,Goals,Цели
spheres,,Spheres,Сферы
done,,Done,Сделано
notes,,Notes,Заметки
mindfulness,,Mindfulness,Практики
meditation,,Meditation,Медитации
sounds,,Sounds,Звуки
sleep,,Sleep,Сон
courses,,Courses,Курсы
progress,,Progress,Прогресс
statistics,,Statistics,Статистика
achievements,,Achievements,Достижения
tips,,Tips,Советы
add,,Add,Добавить
added,,Added,Добавлено
gotIt,,Got it,Хорошо
iGotIt,,I got it!,Отлично!
begin,,Begin,Начать
commit,,Commit,Принять
cancel,,Cancel,Отменить
complete,,Complete,Завершить
edit,,Edit,Редактировать
delete,,Delete,Удалить
share,,Share,Поделиться
accomplish,,Accomplish,Выполнить
deleteHabit,,Delete Habit,Удалить привычку
deleteGoal,,Delete Goal,Удалить цель
deleteTask,,Delete Task,Удалить задачу
work,,Work,Работа
health,,Health,Здоровье
familyAndHome,,Family & Home,Дом и семья
finance,,Finance,Финансы
personalGrowth,,Personal Growth,Личный рост
impact,,Impact,Полезный вклад
recreation,,Recreation,Отдых
social,,Social,Окружение
other,,Other,Разное
sortByABC,,ABC,Алфавиту
sortByActivity,,Activity,Действиям
sortByPriority,,Priority,Приоритету
sortByTime,,Time,Времени
sortByDateAndTime,,Date & Time,Дате и времени
sortByTargetDate,,Target Date,Сроку достижения
sortByLifeSpheres,,Life Sphere,Сферам жизни
resetSort,,Reset Sort,Сбросить сортировку
